id,Source,SMIC,SMC,Better
382789,"As if the explosion of retail shopping malls was not enough to quell the demand, there are outlet malls in abundance within a short drive, and a handful of local shops that deserve attention.","if the explosion of retail shopping malls <strong>deserve</strong> n't enough to quell the demand , there is an abundance of shopping centers that <strong>was</strong> attention .","if the explosion of retail shopping malls wasn't enough to quell the demand, there is an abundance of shopping centers that deserve attention.",0
1341568,"The place where Chicanos and Mexicanos bury their dead is called a camposanto, a ""holy field"" or ""field of the saints."" Although some people use the better-known term cementerio, meaning ""cemetery,"" camposanto is a word still used in many families.","the place where chicanos and mexicanos bury their <strong>better-known</strong> is called a camposanto . although some people use the <strong>dead</strong> term cementerio , camposanto is a word still used .","the place where chicanos and mexicanos bury their dead is called a camposanto. although some people use the better-known term cementerio, camposanto is a word still used. ",0
1380840,"Consider the following conversation between Mel and his 4-year-old son, Ben, as the pair took a summer-evening walk on a California beach near their home. Mel had brought along a plastic bag, as the beach was often littered with trash after a busy day.","consider the following conversation between mel & his 4-year-old , ben , as they took a walk on a california beach . mel had brought a plastic bag , as the beach was often littered <strong>between</strong> trash .","consider the following conversation between mel & his 4-year-old, ben, as they took a walk on a california beach. mel had brought a plastic bag, as the beach was often littered with trash.",1
545633,And I sympathize with your remark on page 19: Brunner's First Law of Authorship states: “In any given body of text there is at least one error that its writer has read straight past three times.”,i sympathize with your claim that `` in any given body of text there is at least one error that its writer has <strong>is</strong> straight past three times . '',i sympathize with your claim that “in any given body of text there is at least one error that its writer has read straight past three times.”,0
1235202,"The emergence of textile, apparel, and retail enterprises in the United States is full of fascinating twists. In 1790, for instance, an act of industrial espionage is said to have launched the domestic textile industry, if not American manufacturing in general.","the emergence of <strong>instance</strong> in the u.s. is full of twists . in 1790 an act of industrial espionage is said to have launched the domestic textile industry , if not american manufacturing in general .","the emergence of textiles in the u.s. is full of twists. in 1790 an act of industrial espionage is said to have launched the domestic textile industry, if not american manufacturing in general.",1
1506520,"There are a lot of barriers that keep people from working: physical and mental disabilities, history of welfare dependency and lack of education or self-esteem.","physical and mental disabilities , history of <strong>work</strong> dependency and lack of education or self-esteem all hinder <strong>welfare</strong> .","physical and mental disabilities, history of welfare dependency and lack of education or self-esteem all hinder work.",0
512922,The Commissioner has certified that the interim final rule will not have a significant economic impact on a substantial number of small entities since the rule only affects individuals.,the commissioner ruled that the interim final <strong>individuals</strong> wo n't have a significant impact on small entities since it only affects <strong>rule</strong> .,the commissioner ruled that the interim final rule won't have a significant impact on small entities since it only affects individuals.,0
1519403,"In April 2001, the JTF-CNO's scope of responsibility was expanded to include a new operational mission: computer network attack. In addition to expanding mission responsibilities, the JTF-CNO is growing in size and depth to better meet increased network defense responsibilities.","in april 2001 , the jtf-cno 's responsibility was expanded to include a new operational mission : computer network attack . further , the <strong>responsibilities</strong> is growing to meet increased network defense <strong>jtf-cno</strong> .","in april 2001, the jtf-cno's responsibility was expanded to include a new operational mission: computer network attack. further, the jtf-cno is growing to meet increased network defense responsibilities.",1
1206166,"You can help make positive changes in the lives of at-risk youth in central Indiana. We often hear about economic poverty, but what some of these young people are growing up with is emotional poverty-they have often given up on hope and the possibility of a successful future.","help make changes in the lives of <strong>economic</strong> youth in indiana ! we hear about <strong>at-risk</strong> poverty , but what these children are growing up with is emotional poverty - giving up on the possibility of a bright future .","help make changes in the lives of at-risk youth in indiana! we hear about economic poverty, but what these children are growing up with is emotional poverty - giving up on the possibility of a bright future.",1
1387531,The committee confirmed Torricelli's claims he had made partial repayments to Chang for two gifts: a large-screen television and a stereo compact-disc player.,torricelli 's claims that he made <strong>compact-disc</strong> repayments to chang for a television and a <strong>partial</strong> player were confirmed .,torricelli's claims that he made partial repayments to chang for a television and a compact-disc player were confirmed.,1
195741,"In other words, the CIA is now screening out exactly the sort of people it used to actively recruit: venturesome young Americans with as much foreign experience as possible.",the cia is now screening out the sort <strong>as</strong> people it used to recruit : young americans with as much foreign experience <strong>of</strong> possible .,the cia is now screening out the sort of people it used to recruit: young americans with as much foreign experience as possible. ,0
182372,"Why did our emperor get up so early,and why is he sitting enthroned at the city's main gate,in state, wearing the crown?",why did our emperor get up early and why does he sit at the city 's gate <strong>at</strong> the crown ?,why did our emperor get up early and why does he sit at the city's gate with the crown?,1
181729,"""“Here along Oil Creek, Indians skimmed the surface oil off the water for domestic uses, and white settlers bottled it for medicinal purposes and called it Seneca Oil.”""","here at oil creek , indians <strong>harvested</strong> surface oil off water for domestic uses ; white settlers <strong>skimmeded</strong> and called it seneca oil .","here at oil creek, indians skimmed surface oil off water for domestic uses; white settlers harvested and called it seneca oil.",1
673802,HCFA notes in the preamble that the final rule does not have any collections of information that would be subject to review by the Office of Management and Budget (OMB) under the Paperwork Reduction Act.,"as hcfa notes in the preamble , the final rule has no information subject to <strong>act</strong> of management and budget review under the paperwork reduction <strong>office</strong> .","as hcfa notes in the preamble, the final rule has no information subject to office of management and budget review under the paperwork reduction act.",0
612196,"In its submission, HCFA did not identify any other statute or executive order imposing procedural requirements relevant to the rule.",hcfa <strong>imposing</strong> not identify any other statute or executive order imposing procedural requirements .,hcfa did not identify any other statute or executive order imposing procedural requirements. ,0
1177632,"Washington's state planning has been led by the Access to Justice Board. The Board was created by the state Supreme Court in 1994, and charged with expanding resources for civil legal services and coordinating their delivery.","washington 's planning is led by the access to justice board . the board was created in 1994 , and charged with expanding <strong>services</strong> for civil legal services .","washington's planning is led by the access to justice board. the board was created in 1994, and charged with expanding resources for civil legal services.",0
347651,"""It only takes three quick, easy steps to obtain a matching gift from your (or your spouse's) employer to enhance your donation to the Indiana University School of Law -Indianapolis.""",`` it takes 3 steps to get a gift from your employer to add to your donation to the indiana university school <strong>from</strong> law - indianapolis . '',"""it takes 3 steps to get a gift from your employer to add to your donation to the indiana university school of law -indianapolis.""",0
1241849,"When the rate of geometry formation and decoherence balance, geometry keeps building tetrahedra as fast as possible everywhere, but flat geometry, by hypothesis, decoheres most slowly. In the limit, perhaps flat geometries do not decohere at all.","when the rate of geometry formation and decoherence balance , geometry keeps building , but flat geometry , decoheres most slowly . in the limit , perhaps flat geometries <strong>keeps</strong> not decohere .","when the rate of geometry formation and decoherence balance, geometry keeps building, but flat geometry, decoheres most slowly. in the limit, perhaps flat geometries do not decohere. ",0
1531160,"Generally, they are halved lengthwise, the seeds and fibrous pulp removed and the flesh sliced into crescents.","they <strong>sliced</strong> halved lengthwise , the seeds and pulp removed and the flesh sliced .","they are halved lengthwise, the seeds and pulp removed and the flesh sliced.",0
553903,"""In the end, we may have to try a radical approach to fighting terrorism: reduce the number of people who feel alienated and aggrieved enough to become terrorists in the first place.""","in the end , we might have to fight terrorism at its <strong>terrorists</strong> by not alienating or aggrieving others .","in the end, we might have to fight terrorism at its roots by not alienating or aggrieving others.",1
877981,"Branch Friends organizations are close-knit groups that provide volunteers, help plan programs and raise money for special needs of their local library. Membership fees in Branch Friends groups are quite low; and the activities are very rewarding.","branch friends organizations are <strong>low</strong> groups providing volunteers , planning programs and raising money for library needs . membership fees are <strong>close-knit</strong> , and the activities rewarding .","branch friends organizations are close-knit groups providing volunteers, planning programs and raising money for library needs. membership fees are low, and the activities rewarding.",1
805352,"I realize that, as a leader in your field, you are frequently asked to support worthy organizations, including other institutions associated with philanthropy. I must therefore tell you why the Center on Philanthropy also deserves your support.","as a leader in your field , i <strong>deserves</strong> sure you receive frequent requests for support . i must also tell you why the center on philanthropy also <strong>'m</strong> your attention .","as a leader in your field, i'm sure you receive frequent requests for support. i must also tell you why the center on philanthropy also deserves your attention. ",1
